9_9,5_5,3_3,6_6,0_0,3_3,0_0,2_2,7_7,3_3,1_1,2_2,3_3,8_8,2_3,54_55
0,0,0,0,0,0,0,0,0,0,0,3,,,,3
1,0,0,0,0,2,0,0,0,1,0,0,,,,4
2_2,2_2,2_2,4_4,6_6,9_9,1_1,5_5,5_5,5_5,7_7,1_2,,,,49_50
1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
4_4,5_5,3_3,5_5,4_4,4_4,5_5,2_2,1_1,4_4,3_3,0_0,4_4,8_8,2_2,54_54
0,0,0,0,0,0,0,0,0,0,0,10,,,,10
0,0,0,1,0,0,0,0,0,0,0,0,,,,1
6_6,9_9,5_5,7_7,4_4,2_2,7_7,2_2,2_2,6_6,4_4,5_6,,,,59_60
0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,6
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3
0_0,4_4,1_1,4_4,1_1,2_2,6_6,7_7,7_7,10_10,7_7,1_1,7_7,9_9,3_3,69_69
0,0,0,0,0,0,0,0,0,0,0,5,,,,5
3,0,0,0,0,0,0,0,0,0,0,0,,,,3
3_3,5_5,0_0,3_3,8_8,5_5,3_3,4_4,7_7,6_6,5_5,3_15,,,,52_64
0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5
0,0,1,1,0,1,0,0,0,2,0,0,0,3,0,8
3_3,1_1,1_1,6_6,4_4,1_1,3_3,2_2,3_3,3_3,3_3,3_3,4_4,2_2,1_1,40_40
0,0,0,0,0,0,0,0,0,0,0,7,,,,7
